time_seconds,speed_meters_per_second,heading_degrees
0.0,7.61,135.48447833333333
1.0,8.64555,135.58332875000002
2.0,9.474863,135.47423500000002
3.0,10.019725,135.55058800000003
4.0,9.424889,136.12463000000002
5.0,9.016296,139.22146400000003
6.0,7.6539454,145.23464200000004
7.0,6.785425,157.636186
8.0,7.005151,173.53378800000002
9.0,6.7025857,190.50628600000002
10.0,7.7249947,205.59586200000004
11.0,8.438419,217.59236400000003
12.0,9.450305,222.99985600000005
13.0,10.132463,223.76405600000004
14.0,10.322651,221.28565200000003
15.0,10.586966,217.14563800000002
16.0,10.543782,211.614648
17.0,10.600861,205.042202
18.0,10.942474,198.245692
19.0,11.412579,192.599072
20.0,11.348925,187.570934
21.0,12.282835,183.722334
22.0,12.967942,181.27796400000003
23.0,13.439001,180.03648800000005
24.0,13.737599,179.60467000000008
25.0,13.855438,179.9790000000001
26.0,14.231102,180.57342800000006
27.0,14.631439,181.18173600000006
28.0,15.099049,181.79004400000005
29.0,15.7598915,181.82208000000006
30.0,15.872288,181.64379800000003
31.0,16.134844,181.85159600000003
32.0,16.18603,182.05178800000004
33.0,16.595133,182.25198
34.0,17.10389,182.638678
35.0,17.381643,182.86234000000002
36.0,17.556858,182.65804
37.0,17.720995,182.45373999999998
38.0,18.159607,182.427552
39.0,18.259487,182.425362
40.0,18.471222,182.586208
41.0,18.655499,182.6249
42.0,18.765852,182.663592
43.0,18.448332,182.48609599999997
44.0,18.365568,182.153692
45.0,18.896036,181.766572
46.0,18.729107,181.07771399999996
47.0,18.154327,180.38885599999995
48.0,17.58696,180.38109199999994
49.0,16.243895,181.32581799999994
50.0,16.343615,182.3252599999999
51.0,17.053787,183.32034199999993
52.0,17.02985,184.1777979999999
53.0,17.006073,184.1932379999999
54.0,17.587816,183.39513999999988
55.0,16.168825,182.77416199999988
56.0,15.919101,182.62485199999986
57.0,16.258484,182.61316799999983
58.0,16.510485,182.6093499999998
59.0,16.714268,182.5974059999998
60.0,16.93159,182.4081299999998
61.0,16.98651,182.20850199999978
62.0,17.008703,181.8158859999998
63.0,17.240873,181.6080019999998
64.0,17.239906,181.4082439999998
65.0,17.588099,181.4047799999998
66.0,18.088762,181.4046099999998
67.0,18.387056,181.6008439999998
68.0,18.295282,181.80347799999979
69.0,18.328777,182.0029879999998
70.0,18.498266,182.0064159999998
71.0,18.499434,182.0069459999998
72.0,18.680737,182.00405999999978
73.0,19.147697,181.9981979999998
74.0,19.083813,181.8037159999998
75.0,19.480759,181.80083199999982
76.0,19.681276,181.7977099999998
77.0,19.785595,181.79696399999978
78.0,19.686756,181.79919399999977
79.0,19.22283,181.79594399999976
80.0,19.153973,181.40106999999975
81.0,19.09445,181.00386199999974
82.0,18.577654,180.60427799999974
83.0,18.313974,180.40260399999974
84.0,18.129404,180.40005799999977
85.0,18.129753,180.5975379999998
86.0,17.770155,180.79725399999978
87.0,17.435328,180.99540799999977
88.0,16.789873,180.79929199999978
89.0,16.159147,180.40301399999979
90.0,15.8536,180.0016219999998
91.0,15.591528,179.60032799999982
92.0,15.3318815,179.20205799999982
93.0,15.167063,179.00032799999983
94.0,15.398962,179.19509799999986
95.0,15.2942505,179.39667999999986
96.0,15.44269,179.59827599999983
97.0,15.382651,179.79841599999983
98.0,15.370474,180.19660999999985
99.0,15.46566,180.39799799999986
100.0,15.469864,180.5976879999999
101.0,15.221058,180.79736399999987
102.0,14.617771,180.99723399999988
103.0,13.98954,180.99888199999987
104.0,13.799006,181.19769199999988
105.0,13.628123,181.39650199999988
106.0,13.639619,181.39887999999988
107.0,13.817578,181.39912599999988
108.0,14.323487,181.20094799999987
109.0,14.488941,180.60427599999989
110.0,14.546572,179.80654799999988
111.0,14.504421,178.6133899999999
112.0,15.131838,177.02064999999988
113.0,14.8205385,175.4219239999999
114.0,13.854081,173.4273999999999
115.0,13.690554,171.4302839999999
116.0,13.685547,169.82333199999988
117.0,13.451193,168.6178939999999
118.0,13.528182,167.6169119999999
119.0,13.280043,167.2117919999999
120.0,13.002818,167.01031999999987
121.0,12.8832245,167.01054599999986
122.0,12.891211,167.20567799999986
123.0,12.8804,167.40373199999985
124.0,12.963888,167.79881599999985
125.0,12.940712,168.39568199999985
126.0,13.053672,169.38861999999986
127.0,12.868893,170.38805399999984
128.0,13.106491,171.98302999999987
129.0,13.392164,173.78181799999987
130.0,13.170107,175.58050399999985
131.0,13.2512865,177.18389399999984
132.0,13.476746,178.78625199999988
133.0,10.455405,179.9865579999999
134.0,10.523208,180.7858539999999
135.0,9.117885,181.38175999999987
136.0,7.697098,181.77639599999986
137.0,5.9078336,181.97066199999986
138.0,5.263637,181.99674639999984
139.0,4.0272355,182.05111919999985
140.0,2.8170857,182.1354903999999
141.0,1.6607141,182.24864399999987
142.0,0.52952623,182.39008599999988
143.0,0.7080075,182.53152799999987
144.0,0.88058394,182.67296999999985
145.0,1.4717481,182.81441199999983
146.0,1.290219,182.95585399999982
147.0,1.3268474,183.09729599999986
148.0,1.1672351,183.23873799999987
149.0,0.75923485,183.38017999999988
150.0,0.51162165,183.52162199999987
150.805999994,1.6976385,183.66306399999985
151.0,1.1502429,183.79772399999985
152.0,1.6975118,183.90409559999983
153.0,3.584969,183.57767879999986
154.0,5.3773947,183.22297359999985
155.0,6.908052,183.03293799999983
156.0,7.7023783,182.8262639999998
157.0,8.019853,182.62040599999983
158.0,9.025317,182.81904799999984
159.0,10.938417,183.01768999999985
160.0,12.317036,187.04367599999986
161.0,13.039399,191.0647939999999
